Old profile URL,New profile URL,Pick,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/bank-manager,300,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/education-technician,300,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/quality-control-assistant,300,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/quality-assurance-manager,302,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/glazier,304,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/roustabout,304,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/welfare-rights-officer,305,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/recycling-operative,307,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/rubber-process-worker,307,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/human-resources-assistant,308,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/fishmonger,309,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/conservator,310,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/customs-officer,311,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/furniture-maker,317,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/glassmaker,317,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/mechanical-engineering-technician,317,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/hotel-receptionist,322,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/environmental-consultant,323,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/fish-farmer,323,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/education-welfare-officer,325,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/security-officer,325,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/chauffeur,326,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/care-home-manager,328,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/steel-fixer,328,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/special-educational-needs-sen-teacher,329,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/delivery-van-driver,331,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/butler,332,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/cemetery-worker,332,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/choreographer,333,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/technical-author,333,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/barrister,334,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/building-technician,335,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/dental-nurse,337,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/legal-secretary,337,,,,,
,https://careers.sit.sfa.bis.gov.uk/job-profiles/boat-builder,338,,,,,
